8220|63|16.00|8|1|16680|0|S||16|20|||1|2|2
2211|63|972.20|18|26|15462|0|Q||40816|22|||1|1|1
269|63|1470.60|17|23|15628|0|Q||7512|45|||1|1|1
6173|63|1388.90|18|5|16523|0|S||8134|6133|||1|1|1
9343|63|533.30|15|15|16430|0|S||6178|6138|||1|1|1
6962|63|1111.10|18|22|16229|0|S||7959|6163|||1|1|2
5717|63|1666.70|24|48|15641|0|S||9151|6171|||1|1|1
8220|63|1666.70|15|47|15690|0|S||20356|6172|||1|1|1
2430|63|1666.70|21|4|16572|0|S||8201|8219|||1|1|1
41166|63|1388.90|18|21|16268|0|S||9934|8223|||1|1|1
8734|63|1250.00|14|18|16333|0|S||40574|8229|||1|1|1
5920|63|1458.30|24|41|15797|0|S||2487|8301|||1|1|1
3922|63|1590.90|11|11|16222|0|Q||1331|8503|||1|1|1
3695|63|1388.90|18|6|16482|0|Q||1858|8503|||1|1|1
