8220|63|16.00|8|1|16680|0|||16|20|||1|2|2
2211|63|972.20|18|26|15462|0|||40816|22|||1|1|1
269|63|1470.60|17|23|15628|0|||7512|45|||1|1|1
2109|63|1458.30|24|3|16494|0|||6965|93|||1|1|1
1210|63|2083.30|12|22|15671|0|||264|112|||1|1|1
3661|63|800.00|10|9|16353|0|||3473|112|||1|1|1
4203|63|1250.00|12|8|16388|0|||3704|121|||1|1|1
171|63|20.00|10|1|16671|0|||172|173|||2|2|2
1811|63|2083.30|12|7|16425|0|||2463|211|||1|1|1
2487|63|1388.90|18|34|15192|0|||5920|215|||1|1|1
1216|63|1250.00|18|16|15957|0|||489|222|||1|1|1
40193|63|1388.90|18|20|16315|0|||9198|226|||1|1|1
4208|63|1250.00|16|13|16104|0|||3497|401|||1|1|1
40886|63|2500.00|20|18|15861|0|||4653|453|||1|1|1
2497|63|2250.00|20|12|16158|0|||5008|466|||1|1|1
2242|63|2083.30|24|2|16562|0|||432|467|||1|1|1
3028|63|1500.00|15|11|16179|0|||456|469|||1|1|1
3662|63|1388.90|18|18|15879|0|||40693|480|||1|1|1
3497|63|1333.30|15|13|16108|0|||4208|488|||1|1|1
1222|63|1250.00|10|13|16137|0|||1216|489|||1|1|1
1013|63|2500.00|20|13|16087|0|||8109|490|||1|1|1
483|63|2083.30|12|7|16420|0|||517|550|||1|1|1
1295|63|2000.00|10|8|16398|0|||1419|594|||1|1|1
1247|63|1521.70|23|20|15762|0|||40199|594|||1|1|1
606|63|1388.90|18|3|16507|0|||40321|594|||1|1|1
4209|63|2500.00|20|24|15540|0|||2570|647|||1|1|1
4239|63|1750.00|20|26|15406|0|||3512|806|||1|1|1
6114|63|2083.30|24|23|15602|0|||5007|806|||1|1|1
40456|63|1388.90|18|19|15809|0|||2218|1209|||1|1|1
112|63|1111.10|18|15|15987|0|||3719|1210|||1|1|1
264|63|1388.90|18|16|15953|0|||4329|1210|||1|1|1
2838|63|2500.00|10|9|16352|0|||2524|1241|||1|1|1
2446|63|1600.00|5|8|16354|0|||2495|1252|||1|1|1
3468|63|1875.00|24|22|15653|0|||3435|1252|||1|1|1
426|63|1250.00|18|8|16364|0|||1269|1256|||1|1|1
40918|63|1388.90|18|2|16538|0|||6946|1256|||1|1|1
1267|63|2083.30|12|14|16050|0|||3922|1266|||1|1|1
3473|63|1388.90|18|10|16241|0|||40621|1276|||1|1|1
41006|63|2083.30|12|21|15719|0|||6990|1284|||1|1|1
1220|63|400.00|15|1|16587|0|||2529|1331|||1|1|1
607|63|1000.00|10|18|15893|0|||6985|1364|||1|1|1
